Course Name,Link,HRCM Areas,Keywords,Target Problems,Target Feelings,Beliief Targets,Action Suggestion,Difficulty,Duration
Relationship Mastery - Lesson 1: The Source of Your Relationships - Your Parents,https://www.miteshkhatri.com/Source,"Relationship, Healing","childhood, parents, emotional roots","unresolved childhood issues, repeating patterns","resentment, hurt, emotional pain",I release old patterns and forgive my parents,Write a letter of forgiveness to your parents,Intermediate,30 min
Relationship Mastery - Lesson 2: Loving & Accepting Yourself with Reflection,https://www.miteshkhatri.com/Reflection,"Relationship, Self-love","self-acceptance, reflection, self-worth","self-criticism, lack of self-love","unworthy, insecure",I am enough just as I am,Practice self-reflection journaling for 7 days,Beginner,20 min
Relationship Mastery - Lesson 3: Understanding Difference Between Men vs Women,https://www.miteshkhatri.com/MenWomen,"Relationship, Communication","gender difference, understanding, empathy","miscommunication, unmet expectations","frustrated, misunderstood",I respect and understand gender differences,Observe one key difference and appreciate it today,Intermediate,25 min
Relationship Mastery - Lesson 4: Ritual of Relating,https://www.miteshkhatri.com/Rituals,"Relationship, Connection","bonding, rituals, intimacy","emotional distance, lack of connection","lonely, detached",Small rituals strengthen love daily,Create a new weekly ritual with your loved one,Beginner,20 min
Relationship Mastery - Lesson 5: Understanding & Accepting Partner through FIRO-B,https://www.miteshkhatri.com/FiroB,"Relationship, Compatibility","acceptance, personality, understanding","judgment, criticism, clashes","defensive, irritated",I accept my partner’s unique emotional needs,Take the FIRO-B test together and discuss results,Intermediate,30 min
Relationship Mastery - Lesson 6: Fulfilling Each Other’s Needs,https://www.miteshkhatri.com/RNeeds,"Relationship, Balance","needs, communication, love languages","unmet needs, lack of fulfillment","ignored, unloved",I express and fulfill my partner’s needs,Ask your partner their top 3 emotional needs,Intermediate,30 min
Relationship Mastery - Lesson 7: Balancing Perspective to Master Acceptance,https://www.miteshkhatri.com/Balance,"Relationship, Emotional Intelligence","acceptance, perspective, balance","constant fights, overreaction","rigid, controlling",I choose balance and compassion over control,"Before reacting, pause and see the other’s view",Intermediate,25 min
Relationship Mastery - Lesson 8: The Skill to Build Trust Bank Account,https://www.miteshkhatri.com/TBA,"Relationship, Trust","trust, consistency, reliability","broken trust, insecurity","suspicious, guarded",Trust grows through small consistent actions,Keep one daily promise to your partner,Intermediate,20 min
Relationship Mastery - Lesson 9: Rapport Building,https://www.miteshkhatri.com/Rapport,"Relationship, Communication","rapport, listening, empathy","emotional gap, disconnection","indifferent, ignored",I build strong rapport through presence,Practice active listening in your next talk,Beginner,20 min
Relationship Mastery - Lesson 10: Break Up Easily & Let People Go with Love,https://www.miteshkhatri.com/BreakUp,"Relationship, Healing","letting go, breakup, detachment","heartbreak, emotional pain","sad, grieving",I let go with love and gratitude,Write closure letter & meditate on forgiveness,Intermediate,30 min
Relationship Mastery - Lesson 11: Managing Conflict by Managing Relationship Categories,https://www.miteshkhatri.com/Conflicts,"Relationship, Conflict Management","conflict, boundaries, clarity","constant arguments, confusion","irritated, drained",I manage relationships with clarity and respect,Categorize your key relationships today,Advanced,35 min
Relationship Mastery - Lesson 12: Recover from Fights,https://www.miteshkhatri.com/Conflicts,"Relationship, Healing","fights, repair, forgiveness","lingering resentment, emotional wounds","angry, guilty",Every fight is an opportunity to grow closer,Initiate a calm post-fight conversation,Intermediate,25 min
"Relationship Mastery - Lesson 13: Managing Ego - Child, Adult & Parent Ego",https://www.miteshkhatri.com/Ego,"Relationship, Psychology","ego, maturity, emotional awareness","reacting childishly, ego clashes","defensive, superior",I choose my adult self in every interaction,Observe which ego state you’re in today,Advanced,40 min
Health Mastery & Happy Gym - Lesson 1: What is Health - An Eye Opening Session,https://coaching.miteshkhatri.com/products/health-mastery-happy-gym/categories/3437855/posts/11723270,"Health, Awareness","holistic health, body-mind connection","believing change is hard, old conditioning","unaware, misled","True health is balance of mind, body & emotions",Reflect: What does health mean to me?,Beginner,25 min
Health Mastery & Happy Gym - Lesson 2: Breaking Health Limiting Beliefs,https://coaching.miteshkhatri.com/products/health-mastery-happy-gym/categories/3437855/posts/11880530,"Health, Nutrition","belief, reprogramming, energy","crash diets, confusion","hopeless, resistant",I can easily create a healthy body,Write your top 3 limiting health beliefs and reframe,Intermediate,30 min
Health Mastery & Happy Gym - Lesson 3: Creating a Lifestyle Diet Plan,https://coaching.miteshkhatri.com/products/health-mastery-happy-gym/categories/3437855/posts/12035104,"Health, Habits","diet, planning, lifestyle","unhealthy lifestyle, poor sleep","overwhelmed, guilty",I eat to nourish and energize my body,Plan balanced meals for the week,Intermediate,30 min
Health Mastery & Happy Gym - Lesson 4: Transforming Your Health Habits Part 1,https://coaching.miteshkhatri.com/products/health-mastery-happy-gym/categories/3437855/posts/12198567,"Health, Consistency","transformation, routine, focus","inconsistency, giving up early","sluggish, unmotivated",I can change my health habits one step at a time,Replace one unhealthy habit today,Beginner,25 min
Health Mastery & Happy Gym - Lesson 5: Transforming Habits Part 2,https://coaching.miteshkhatri.com/products/health-mastery-happy-gym/categories/3437855/posts/12367867,"Health, System","habit tracking, reinforcement","lack of clarity, scattered approach","frustrated, impatient",I stay consistent even when it’s tough,Track habit progress for 7 days,Intermediate,25 min
Health Mastery & Happy Gym - Lesson 6: Integrating 7 Master Steps,https://coaching.miteshkhatri.com/products/health-mastery-happy-gym/categories/3437855/posts/12544878,"Health, Discipline","7 steps, structure, integration","mediocrity, low standards","confused, uncertain",I follow structured systems to stay healthy,Implement 1 master step daily,Advanced,35 min
Health Mastery & Happy Gym - Lesson 7: Raise Your Health Standards,https://coaching.miteshkhatri.com/products/health-mastery-happy-gym/categories/3437855/posts/12713231,"Health, Review","standards, excellence, focus","forgetting lessons, no application","lazy, careless",I raise my standards for energy and vitality,Audit your current habits and upgrade one,Intermediate,25 min
Health Mastery & Happy Gym - Lesson 8: Recap of 7 Master Steps,https://coaching.miteshkhatri.com/products/health-mastery-happy-gym/categories/3437855/posts/13221408,"Health, Fitness","recap, reflection, reinforcement","confusion, fear of injury","distracted, forgetful",I review and strengthen my health mindset,Rewatch or summarize all 7 steps,Beginner,20 min
Health Mastery & Happy Gym - Lesson 9: How to Design a Workout,https://coaching.miteshkhatri.com/products/health-mastery-happy-gym/categories/3437855/posts/13221310,"Health, Fitness","workout, exercise, plan","confusion, fear of injury","unsure, lazy",I can design simple workouts that fit my life,Create a 3-day personal workout plan,Intermediate,30 min
Career Mastery - Code of Honor to be a Life Coach Result sharing,#,"Career, Coaching","coaching, honor code, commitment","unclear direction, lack of accountability","unsure, scattered",I commit to being a responsible coach,Review and commit to the code of honor,Beginner,15 min
Career Mastery - Lesson 1: Demo of Life Coaching Framework,https://www.miteshkhatri.com/CoachingDemo,"Career, Coaching","coaching, framework, demonstration","not understanding coaching process","confused, doubtful",I understand the life coaching framework,Watch demo and take notes,Beginner,30 min
Career Mastery - Lesson 2: Understanding the Life Coaching Framework,https://www.miteshkhatri.com/CoachingFramework,"Career, Coaching","coaching, framework, structure","lack of coaching structure","uncertain, overwhelmed",I can apply a structured coaching framework,Study the framework and practice with a friend,Intermediate,35 min
Career Mastery - Experience Sharing of Tony Robbins Movie,#,"Career, Inspiration","inspiration, growth, motivation","lack of motivation, feeling stuck","uninspired, lost",I am inspired by successful coaches,Watch the movie and reflect on learnings,Beginner,20 min
Career Mastery - Lesson 3: Health Coaching Blueprint,https://www.miteshkhatri.com/HealthCoaching,"Career, Health","health coaching, blueprint, skills","not knowing how to coach health","inadequate, unprepared",I can coach others on their health journey,Practice health coaching with one person,Intermediate,40 min
Career Mastery - Lesson 4: Relationship Coaching Blueprint,https://www.miteshkhatri.com/RelationshipCoaching,"Career, Relationship","relationship coaching, blueprint, communication","inability to help with relationships","helpless, frustrated",I can guide others in relationship growth,Practice relationship coaching techniques,Intermediate,40 min
Career Mastery - Result Sharing Day 2,https://www.miteshkhatri.com/CareerCoaching,"Career, Results","results, sharing, accountability","lack of progress tracking","unaccountable, directionless",I track and share my coaching results,Share your coaching progress and results,Beginner,20 min
Career Mastery - Lesson 5: Career Coaching Blueprint,#,"Career, Coaching","career coaching, blueprint, guidance","not knowing career coaching process","uncertain, inadequate",I can effectively coach career development,Study career coaching techniques,Advanced,45 min
Career Mastery - Lesson 6: How to make Business Strategies,#,"Career, Business","business, strategy, planning","lack of business clarity, poor planning","confused, directionless",I can create effective business strategies,Draft a simple business strategy plan,Advanced,50 min
Career Mastery - Lesson 7: Webinar Selling Formula Explained,https://www.miteshkhatri.com/WebinarSelling,"Career, Business","webinar, selling, marketing","not knowing how to sell via webinars","anxious, unsure",I can deliver compelling webinars that convert,Study the formula and plan a webinar,Advanced,45 min
